CONTRACT_ID,Organization Marketing Name,Contract Name,Parent Organization,"Problems Getting Needed Care, Coverage, and Cost Information",Problems with Coverage of Doctors and Hospitals,Financial Reasons for Disenrollment,Problems with Prescription Drug Benefits and Coverage,Problems Getting Information and Help from the Plan
E3014 ,Pennsylvania Public School Employees Retirement Sy ,PSERS HOP PROGRAM ,Commonwealth of PA Pub Schools Retirement System ,Not Applicable ,Not Applicable ,Not Available ,Not Available ,Not Available
E4744 ,MISSOURI DEPARTMENT OF TRANSPORTATION ,MODOT/MSHP MEDICAL AND LIFE INSURANCE PLAN ,Missouri Highways and Transportation Commission ,Not Applicable ,Not Applicable ,Not Available ,Not Available ,Not Available
H0028 ,Humana ,"CHA HMO, INC. ",Humana Inc. ,16%,18%,15%,Not Available ,13%
H0029 ,Allwell ,"COORDINATED CARE OF WASHINGTON, INC. ",Centene Corporation ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H0034 ,"Hamaspik, Inc. ","HAMASPIK, INC. ","Hamaspik of Rockland County, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H0062 ,Wellcare by Allwell ,"SUPERIOR HEALTHPLAN COMMUNITY SOLUTIONS, INC. ",Centene Corporation ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H0074 ,Wellcare ,"WELLCARE OF MISSISSIPPI, INC. ",Centene Corporation ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H0088 ,Wellcare ,"WELLCARE HEALTH INSURANCE OF NEW YORK, INC. ",Centene Corporation ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H0104 ,Blue Cross and Blue Shield of Alabama ,BLUE CROSS AND BLUE SHIELD OF ALABAMA ,BlueCross BlueShield of Alabama ,9%,4%,24%,Not Available ,7%
H0107 ,Blue Cross and Blue Shield of Montana ,HEALTH CARE SERVICE CORPORATION ,Health Care Service Corporation ,17%,12%,28%,10%,13%
H0111 ,Wellcare ,"WELLCARE OF GEORGIA, INC. ",Centene Corporation ,19%,30%,19%,Not Available ,17%
