CONTRACT_ID,Organization Type,Contract Name,Organization Marketing Name,Parent Organization,SNP,2020 Disaster %,2021 Disaster %,2023 Part C Summary,2023 Part D Summary,2023 Overall
E3014 ,Employer/Union Only Direct Contract PDP ,PSERS HOP PROGRAM ,Pennsylvania Public School Employees Retirement Sy ,Commonwealth of PA Pub Schools Retirement System ,No ,100,1,Not Applicable ,4.5,Not Applicable
E4744 ,Employer/Union Only Direct Contract PDP ,MODOT/MSHP MEDICAL AND LIFE INSURANCE PLAN ,MISSOURI DEPARTMENT OF TRANSPORTATION ,Missouri Highways and Transportation Commission ,No ,100,1,Not Applicable ,3.5,Not Applicable
H0022 ,Demo ,"BUCKEYE COMMUNITY HEALTH PLAN, INC. ",Buckeye Health Plan - MyCare Ohio ,Centene Corporation ,No ,100,0,Not Applicable ,Not enough data available ,Not enough data available
H0028 ,Local CCP ,"CHA HMO, INC. ",Humana ,Humana Inc. ,Yes ,100,41,4,4,4
H0029 ,Local CCP ,"COORDINATED CARE OF WASHINGTON, INC. ",Allwell ,Centene Corporation ,No ,0,0,Not enough data available ,Not enough data available ,Not enough data available
H0034 ,Local CCP ,"HAMASPIK, INC. ","Hamaspik, Inc. ","Hamaspik of Rockland County, Inc. ",Yes ,100,70,Not enough data available ,3.5,Not enough data available
H0062 ,Local CCP ,"SUPERIOR HEALTHPLAN COMMUNITY SOLUTIONS, INC. ",Wellcare by Allwell ,Centene Corporation ,No ,100,94,3,3.5,3.5
H0074 ,Local CCP ,"WELLCARE OF MISSISSIPPI, INC. ",Wellcare ,Centene Corporation ,Yes ,0,0,Not enough data available ,2.5,Not enough data available
H0088 ,Local CCP ,"WELLCARE HEALTH INSURANCE OF NEW YORK, INC. ",Wellcare ,Centene Corporation ,No ,100,0,Not enough data available ,2,Not enough data available
H0104 ,Local CCP ,BLUE CROSS AND BLUE SHIELD OF ALABAMA ,Blue Cross and Blue Shield of Alabama ,BlueCross BlueShield of Alabama ,No ,100,0,4.5,4.5,4.5
H0107 ,Local CCP ,HEALTH CARE SERVICE CORPORATION ,Blue Cross and Blue Shield of Montana ,Health Care Service Corporation ,No ,100,14,4,4,4
H0111 ,Local CCP ,"WELLCARE OF GEORGIA, INC. ",Wellcare ,Centene Corporation ,Yes ,100,0,2.5,2.5,2.5
H0137 ,Demo ,"COMMONWEALTH CARE ALLIANCE, INC. ",Commonwealth Care Alliance Massachusetts ,"Commonwealth Care Alliance, Inc. ",No ,100,0,Not Applicable ,Not enough data available ,Not enough data available
H0154 ,Local CCP ,"VIVA HEALTH, INC. ",VIVA Medicare ,"Triton Health Systems, L.L.C. ",Yes ,100,0,4.5,4,5
H0169 ,Local CCP ,"UNITEDHEALTHCARE OF THE MIDWEST, INC. ",UnitedHealthcare ,"UnitedHealth Group, Inc. ",Yes ,100,0,4,4,4.5
H0174 ,Local CCP ,"WELLCARE OF TEXAS, INC. ",Wellcare ,Centene Corporation ,Yes ,100,92,3,2.5,2.5
H0192 ,Demo ,"AMERIHEALTH MICHIGAN, INC. ",AmeriHealth Caritas VIP Care Plus ,"Independence Health Group, Inc. ",No ,100,0,Not Applicable ,Not enough data available ,Not enough data available
H0251 ,Local CCP ,"UNITEDHEALTHCARE PLAN OF THE RIVER VALLEY, INC. ",UnitedHealthcare ,"UnitedHealth Group, Inc. ",Yes ,100,0,4,4,4.5
H0270 ,Local CCP ,WELLCARE HEALTH INSURANCE COMPANY OF AMERICA ,Wellcare ,Centene Corporation ,Yes ,100,0,Not enough data available ,2,Not enough data available
H0271 ,Local CCP ,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO. ,UnitedHealthcare ,"UnitedHealth Group, Inc. ",Yes ,100,0,3.5,3,4
H0292 ,Local CCP ,"HUMANA HEALTH PLAN OF OHIO, INC. ",Humana ,Humana Inc. ,No ,100,0,4.5,4,5
H0294 ,Local CCP ,UNITEDHEALTHCARE INSURANCE COMPANY ,UnitedHealthcare ,"UnitedHealth Group, Inc. ",Yes ,100,0,4.5,3.5,4.5
H0302 ,Local CCP ,"MEDISUN, INC. ",Blue Cross Blue Shield of Arizona Advantage ,Blue Cross Blue Shield of Arizona ,No ,100,0,3.5,4,3.5
H0321 ,Local CCP ,"ARIZONA PHYSICIANS IPA, INC. ",UnitedHealthcare ,"UnitedHealth Group, Inc. ",Yes ,100,0,4,3.5,4
H0332 ,Local CCP ,"KS PLAN ADMINISTRATORS, LLC ",KelseyCare Advantage ,"UnitedHealth Group, Inc. ",No ,100,100,5,5,5
H0336 ,Demo ,"HUMANA HEALTH PLAN, INC. ",Humana ,Humana Inc. ,No ,100,0,Not Applicable ,Not enough data available ,Not enough data available
H0342 ,Local CCP ,"CAREPARTNERS OF CONNECTICUT, INC. ",CarePartners of Connecticut ,"Point32Health, Inc. ",No ,0,0,Not enough data available ,Not enough data available ,Not enough data available
H0351 ,Local CCP ,"HEALTH NET OF ARIZONA, INC. ",Wellcare by Allwell ,Centene Corporation ,Yes ,100,0,2.5,3,2.5
H0354 ,Local CCP ,"CIGNA HEALTHCARE OF ARIZONA, INC. ",Cigna ,CIGNA ,Yes ,100,0,4,4,4
H0363 ,Local CCP ,"LONGEVITY HEALTH PLAN OF COLORADO, INC. ",Longevity Health Plan ,"Longevity Health Founders, LLC ",Yes ,0,0,Not enough data available ,Not enough data available ,Not enough data available
H0422 ,Local CCP ,"UCARE HEALTH, INC. ",UCare ,UCare Minnesota ,No ,100,0,Not enough data available ,3.5,Not enough data available
H0423 ,Local CCP ,"METROPLUS HEALTH PLAN, INC. ",MetroPlus Health Plan ,New York City Health and Hospitals Corporation ,Yes ,100,83,3.5,5,4
H0432 ,Local CCP ,"UNITEDHEALTHCARE OF THE MIDLANDS, INC. ",UnitedHealthcare ,"UnitedHealth Group, Inc. ",Yes ,100,0,4.5,3.5,4
H0439 ,Local CCP ,"CIGNA HEALTHCARE OF GEORGIA, INC. ",Cigna ,CIGNA ,Yes ,100,0,3.5,2.5,3
H0473 ,Local CCP ,HUMANA INSURANCE COMPANY OF KENTUCKY ,Humana ,Humana Inc. ,Yes ,100,89,4.5,3.5,4.5
H0480 ,Demo ,"MERIDIAN HEALTH PLAN OF MICHIGAN, INC. ",MeridianComplete (Medicare-Medicaid Plan) ,Centene Corporation ,No ,100,0,Not Applicable ,Not enough data available ,Not enough data available
