measure_normalized,display_name,row_kind,unsupported_reason,year,threshold_key,threshold_label,actual,full_market_simulated,full_market_delta,client_simulated,client_delta,diff_simulated,inverted,sample_size_full_market,sample_size_client,mae_full_market,mae_client,tukey_applied,guardrails_applied,methodology_method,methodology_fold_count,methodology_seed,methodology_tukey_starts_year
annual flu vaccine partc,Annual Flu Vaccine,threshold,,2023,twoStar,2★ Threshold,64,64,0,64,0,0,false,507,276,0.5,0,false,false,cahps-percentile,10,8675309,2024
annual flu vaccine partc,Annual Flu Vaccine,threshold,,2023,threeStar,3★ Threshold,69,69,0,69,0,0,false,507,276,0.5,0,false,false,cahps-percentile,10,8675309,2024
annual flu vaccine partc,Annual Flu Vaccine,threshold,,2023,fourStar,4★ Threshold,75,76,1,75,0,-1,false,507,276,0.5,0,false,false,cahps-percentile,10,8675309,2024
annual flu vaccine partc,Annual Flu Vaccine,threshold,,2023,fiveStar,5★ Threshold,79,80,1,79,0,-1,false,507,276,0.5,0,false,false,cahps-percentile,10,8675309,2024
annual flu vaccine partc,Annual Flu Vaccine,threshold,,2024,twoStar,2★ Threshold,63,63,0,63,0,0,false,535,297,0.25,0.5,false,false,cahps-percentile,10,8675309,2024
annual flu vaccine partc,Annual Flu Vaccine,threshold,,2024,threeStar,3★ Threshold,67,68,1,67,0,-1,false,535,297,0.25,0.5,false,false,cahps-percentile,10,8675309,2024
annual flu vaccine partc,Annual Flu Vaccine,threshold,,2024,fourStar,4★ Threshold,74,74,0,73,-1,-1,false,535,297,0.25,0.5,false,false,cahps-percentile,10,8675309,2024
annual flu vaccine partc,Annual Flu Vaccine,threshold,,2024,fiveStar,5★ Threshold,78,78,0,77,-1,-1,false,535,297,0.25,0.5,false,false,cahps-percentile,10,8675309,2024
annual flu vaccine partc,Annual Flu Vaccine,threshold,,2025,twoStar,2★ Threshold,61,61,0,60,-1,-1,false,508,302,0.25,1.25,false,false,cahps-percentile,10,8675309,2024
annual flu vaccine partc,Annual Flu Vaccine,threshold,,2025,threeStar,3★ Threshold,65,65,0,63,-2,-2,false,508,302,0.25,1.25,false,false,cahps-percentile,10,8675309,2024
annual flu vaccine partc,Annual Flu Vaccine,threshold,,2025,fourStar,4★ Threshold,71,72,1,70,-1,-2,false,508,302,0.25,1.25,false,false,cahps-percentile,10,8675309,2024
annual flu vaccine partc,Annual Flu Vaccine,threshold,,2025,fiveStar,5★ Threshold,76,76,0,75,-1,-1,false,508,302,0.25,1.25,false,false,cahps-percentile,10,8675309,2024
annual flu vaccine partc,Annual Flu Vaccine,threshold,,2026,twoStar,2★ Threshold,57,58,1,57,0,-1,false,497,297,1,0.25,false,false,cahps-percentile,10,8675309,2024
annual flu vaccine partc,Annual Flu Vaccine,threshold,,2026,threeStar,3★ Threshold,61,62,1,61,0,-1,false,497,297,1,0.25,false,false,cahps-percentile,10,8675309,2024
annual flu vaccine partc,Annual Flu Vaccine,threshold,,2026,fourStar,4★ Threshold,68,69,1,68,0,-1,false,497,297,1,0.25,false,false,cahps-percentile,10,8675309,2024
annual flu vaccine partc,Annual Flu Vaccine,threshold,,2026,fiveStar,5★ Threshold,73,74,1,72,-1,-2,false,497,297,1,0.25,false,false,cahps-percentile,10,8675309,2024
breast cancer screening partc,Breast Cancer Screening,threshold,,2023,twoStar,2★ Threshold,43,43.2,0.2,47,4,3.8,false,492,272,1.02,3.67,false,true,clustering,10,8675309,2024
breast cancer screening partc,Breast Cancer Screening,threshold,,2023,threeStar,3★ Threshold,62,60.1,-1.9,66,4,5.9,false,492,272,1.02,3.67,false,true,clustering,10,8675309,2024
breast cancer screening partc,Breast Cancer Screening,threshold,,2023,fourStar,4★ Threshold,70,69.4,-0.6,74,4,4.6,false,492,272,1.02,3.67,false,true,clustering,10,8675309,2024
breast cancer screening partc,Breast Cancer Screening,threshold,,2023,fiveStar,5★ Threshold,77,75.6,-1.4,79.7,2.7,4.1,false,492,272,1.02,3.67,false,true,clustering,10,8675309,2024
breast cancer screening partc,Breast Cancer Screening,threshold,,2024,twoStar,2★ Threshold,48,48,0,48,0,0,false,504,290,1.48,0.7,true,true,clustering,10,8675309,2024
breast cancer screening partc,Breast Cancer Screening,threshold,,2024,threeStar,3★ Threshold,63,65.6,2.6,64.5,1.5,-1.1,false,504,290,1.48,0.7,true,true,clustering,10,8675309,2024
breast cancer screening partc,Breast Cancer Screening,threshold,,2024,fourStar,4★ Threshold,71,73.2,2.2,71.8,0.8,-1.4,false,504,290,1.48,0.7,true,true,clustering,10,8675309,2024
breast cancer screening partc,Breast Cancer Screening,threshold,,2024,fiveStar,5★ Threshold,79,80.1,1.1,78.5,-0.5,-1.6,false,504,290,1.48,0.7,true,true,clustering,10,8675309,2024
breast cancer screening partc,Breast Cancer Screening,threshold,,2025,twoStar,2★ Threshold,53,53,0,53,0,0,false,498,307,1.35,1.45,true,true,clustering,10,8675309,2024
breast cancer screening partc,Breast Cancer Screening,threshold,,2025,threeStar,3★ Threshold,67,64.7,-2.3,67.5,0.5,2.8,false,498,307,1.35,1.45,true,true,clustering,10,8675309,2024
breast cancer screening partc,Breast Cancer Screening,threshold,,2025,fourStar,4★ Threshold,75,73.2,-1.8,72.5,-2.5,-0.7,false,498,307,1.35,1.45,true,true,clustering,10,8675309,2024
breast cancer screening partc,Breast Cancer Screening,threshold,,2025,fiveStar,5★ Threshold,82,80.7,-1.3,79.2,-2.8,-1.5,false,498,307,1.35,1.45,true,true,clustering,10,8675309,2024
breast cancer screening partc,Breast Cancer Screening,threshold,,2026,twoStar,2★ Threshold,58,58,0,58,0,0,false,496,309,0.85,2.77,true,true,clustering,10,8675309,2024
breast cancer screening partc,Breast Cancer Screening,threshold,,2026,threeStar,3★ Threshold,71,69.3,-1.7,66.7,-4.3,-2.6,false,496,309,0.85,2.77,true,true,clustering,10,8675309,2024
breast cancer screening partc,Breast Cancer Screening,threshold,,2026,fourStar,4★ Threshold,76,76.2,0.2,73.7,-2.3,-2.5,false,496,309,0.85,2.77,true,true,clustering,10,8675309,2024
breast cancer screening partc,Breast Cancer Screening,threshold,,2026,fiveStar,5★ Threshold,84,82.5,-1.5,79.5,-4.5,-3,false,496,309,0.85,2.77,true,true,clustering,10,8675309,2024
call center foreign language interpreter and tty availability partc,Call Center – Foreign Language Interpreter and TTY Availability (Part C),threshold,,2023,twoStar,2★ Threshold,36,37,1,37,1,0,false,697,313,1.7,2.75,false,true,clustering,10,8675309,2024
call center foreign language interpreter and tty availability partc,Call Center – Foreign Language Interpreter and TTY Availability (Part C),threshold,,2023,threeStar,3★ Threshold,59,62.8,3.8,66,7,3.2,false,697,313,1.7,2.75,false,true,clustering,10,8675309,2024
call center foreign language interpreter and tty availability partc,Call Center – Foreign Language Interpreter and TTY Availability (Part C),threshold,,2023,fourStar,4★ Threshold,83,81,-2,83,0,2,false,697,313,1.7,2.75,false,true,clustering,10,8675309,2024
call center foreign language interpreter and tty availability partc,Call Center – Foreign Language Interpreter and TTY Availability (Part C),threshold,,2023,fiveStar,5★ Threshold,94,94,0,97,3,3,false,697,313,1.7,2.75,false,true,clustering,10,8675309,2024
call center foreign language interpreter and tty availability partc,Call Center – Foreign Language Interpreter and TTY Availability (Part C),threshold,,2024,twoStar,2★ Threshold,41,41,0,41,0,0,false,656,284,0.07,0.5,true,true,clustering,10,8675309,2024
call center foreign language interpreter and tty availability partc,Call Center – Foreign Language Interpreter and TTY Availability (Part C),threshold,,2024,threeStar,3★ Threshold,64,64,0,64,0,0,false,656,284,0.07,0.5,true,true,clustering,10,8675309,2024
call center foreign language interpreter and tty availability partc,Call Center – Foreign Language Interpreter and TTY Availability (Part C),threshold,,2024,fourStar,4★ Threshold,88,88,0,88,0,0,false,656,284,0.07,0.5,true,true,clustering,10,8675309,2024
call center foreign language interpreter and tty availability partc,Call Center – Foreign Language Interpreter and TTY Availability (Part C),threshold,,2024,fiveStar,5★ Threshold,97,97.3,0.3,99,2,1.7,false,656,284,0.07,0.5,true,true,clustering,10,8675309,2024
call center foreign language interpreter and tty availability partc,Call Center – Foreign Language Interpreter and TTY Availability (Part C),threshold,,2025,twoStar,2★ Threshold,46,46,0,46,0,0,false,616,295,0,0,true,true,clustering,10,8675309,2024
call center foreign language interpreter and tty availability partc,Call Center – Foreign Language Interpreter and TTY Availability (Part C),threshold,,2025,threeStar,3★ Threshold,69,69,0,69,0,0,false,616,295,0,0,true,true,clustering,10,8675309,2024
call center foreign language interpreter and tty availability partc,Call Center – Foreign Language Interpreter and TTY Availability (Part C),threshold,,2025,fourStar,4★ Threshold,93,93,0,93,0,0,false,616,295,0,0,true,true,clustering,10,8675309,2024
call center foreign language interpreter and tty availability partc,Call Center – Foreign Language Interpreter and TTY Availability (Part C),threshold,,2025,fiveStar,5★ Threshold,100,100,0,100,0,0,false,616,295,0,0,true,true,clustering,10,8675309,2024
call center foreign language interpreter and tty availability partc,Call Center – Foreign Language Interpreter and TTY Availability (Part C),threshold,,2026,twoStar,2★ Threshold,51,51,0,51,0,0,false,603,305,0,0.25,true,true,clustering,10,8675309,2024
call center foreign language interpreter and tty availability partc,Call Center – Foreign Language Interpreter and TTY Availability (Part C),threshold,,2026,threeStar,3★ Threshold,74,74,0,74,0,0,false,603,305,0,0.25,true,true,clustering,10,8675309,2024
call center foreign language interpreter and tty availability partc,Call Center – Foreign Language Interpreter and TTY Availability (Part C),threshold,,2026,fourStar,4★ Threshold,97,97,0,98,1,1,false,603,305,0,0.25,true,true,clustering,10,8675309,2024
call center foreign language interpreter and tty availability partc,Call Center – Foreign Language Interpreter and TTY Availability (Part C),threshold,,2026,fiveStar,5★ Threshold,100,100,0,100,0,0,false,603,305,0,0.25,true,true,clustering,10,8675309,2024
call center foreign language interpreter and tty availability partd,Call Center – Foreign Language Interpreter and TTY Availability (Part D),threshold,,2023,twoStar,2★ Threshold,30,30,0,30,0,0,false,696,312,1.23,3.67,false,true,clustering,10,8675309,2024
call center foreign language interpreter and tty availability partd,Call Center – Foreign Language Interpreter and TTY Availability (Part D),threshold,,2023,threeStar,3★ Threshold,64,64,0,64,0,0,false,696,312,1.23,3.67,false,true,clustering,10,8675309,2024
call center foreign language interpreter and tty availability partd,Call Center – Foreign Language Interpreter and TTY Availability (Part D),threshold,,2023,fourStar,4★ Threshold,80,81.3,1.3,89,9,7.7,false,696,312,1.23,3.67,false,true,clustering,10,8675309,2024
call center foreign language interpreter and tty availability partd,Call Center – Foreign Language Interpreter and TTY Availability (Part D),threshold,,2023,fiveStar,5★ Threshold,91,94.6,3.6,96.7,5.7,2.1,false,696,312,1.23,3.67,false,true,clustering,10,8675309,2024
call center foreign language interpreter and tty availability partd,Call Center – Foreign Language Interpreter and TTY Availability (Part D),threshold,,2024,twoStar,2★ Threshold,35,35,0,35,0,0,false,692,288,0,0,true,true,clustering,10,8675309,2024
call center foreign language interpreter and tty availability partd,Call Center – Foreign Language Interpreter and TTY Availability (Part D),threshold,,2024,threeStar,3★ Threshold,69,69,0,69,0,0,false,692,288,0,0,true,true,clustering,10,8675309,2024
call center foreign language interpreter and tty availability partd,Call Center – Foreign Language Interpreter and TTY Availability (Part D),threshold,,2024,fourStar,4★ Threshold,85,85,0,85,0,0,false,692,288,0,0,true,true,clustering,10,8675309,2024
call center foreign language interpreter and tty availability partd,Call Center – Foreign Language Interpreter and TTY Availability (Part D),threshold,,2024,fiveStar,5★ Threshold,96,96,0,96,0,0,false,692,288,0,0,true,true,clustering,10,8675309,2024
call center foreign language interpreter and tty availability partd,Call Center – Foreign Language Interpreter and TTY Availability (Part D),threshold,,2025,twoStar,2★ Threshold,40,40,0,40,0,0,false,609,289,0,0,true,true,clustering,10,8675309,2024
call center foreign language interpreter and tty availability partd,Call Center – Foreign Language Interpreter and TTY Availability (Part D),threshold,,2025,threeStar,3★ Threshold,74,74,0,74,0,0,false,609,289,0,0,true,true,clustering,10,8675309,2024
call center foreign language interpreter and tty availability partd,Call Center – Foreign Language Interpreter and TTY Availability (Part D),threshold,,2025,fourStar,4★ Threshold,90,90,0,90,0,0,false,609,289,0,0,true,true,clustering,10,8675309,2024
call center foreign language interpreter and tty availability partd,Call Center – Foreign Language Interpreter and TTY Availability (Part D),threshold,,2025,fiveStar,5★ Threshold,100,100,0,100,0,0,false,609,289,0,0,true,true,clustering,10,8675309,2024
call center foreign language interpreter and tty availability partd,Call Center – Foreign Language Interpreter and TTY Availability (Part D),threshold,,2026,twoStar,2★ Threshold,45,45,0,45,0,0,false,603,319,0,0,true,true,clustering,10,8675309,2024
call center foreign language interpreter and tty availability partd,Call Center – Foreign Language Interpreter and TTY Availability (Part D),threshold,,2026,threeStar,3★ Threshold,79,79,0,79,0,0,false,603,319,0,0,true,true,clustering,10,8675309,2024
call center foreign language interpreter and tty availability partd,Call Center – Foreign Language Interpreter and TTY Availability (Part D),threshold,,2026,fourStar,4★ Threshold,95,95,0,95,0,0,false,603,319,0,0,true,true,clustering,10,8675309,2024
call center foreign language interpreter and tty availability partd,Call Center – Foreign Language Interpreter and TTY Availability (Part D),threshold,,2026,fiveStar,5★ Threshold,100,100,0,100,0,0,false,603,319,0,0,true,true,clustering,10,8675309,2024
care coordination partc,Care Coordination,threshold,,2023,twoStar,2★ Threshold,83,84,1,84,1,0,false,470,260,0.25,0.25,false,false,cahps-percentile,10,8675309,2024
care coordination partc,Care Coordination,threshold,,2023,threeStar,3★ Threshold,85,85,0,85,0,0,false,470,260,0.25,0.25,false,false,cahps-percentile,10,8675309,2024
care coordination partc,Care Coordination,threshold,,2023,fourStar,4★ Threshold,86,86,0,86,0,0,false,470,260,0.25,0.25,false,false,cahps-percentile,10,8675309,2024
care coordination partc,Care Coordination,threshold,,2023,fiveStar,5★ Threshold,87,87,0,87,0,0,false,470,260,0.25,0.25,false,false,cahps-percentile,10,8675309,2024
care coordination partc,Care Coordination,threshold,,2024,twoStar,2★ Threshold,83,83,0,83,0,0,false,500,283,0.5,0.25,false,false,cahps-percentile,10,8675309,2024
care coordination partc,Care Coordination,threshold,,2024,threeStar,3★ Threshold,84,85,1,85,1,0,false,500,283,0.5,0.25,false,false,cahps-percentile,10,8675309,2024
care coordination partc,Care Coordination,threshold,,2024,fourStar,4★ Threshold,86,86,0,86,0,0,false,500,283,0.5,0.25,false,false,cahps-percentile,10,8675309,2024
care coordination partc,Care Coordination,threshold,,2024,fiveStar,5★ Threshold,87,88,1,87,0,-1,false,500,283,0.5,0.25,false,false,cahps-percentile,10,8675309,2024
care coordination partc,Care Coordination,threshold,,2025,twoStar,2★ Threshold,84,85,1,85,1,0,false,435,253,0.5,0.5,false,false,cahps-percentile,10,8675309,2024
care coordination partc,Care Coordination,threshold,,2025,threeStar,3★ Threshold,85,86,1,86,1,0,false,435,253,0.5,0.5,false,false,cahps-percentile,10,8675309,2024
care coordination partc,Care Coordination,threshold,,2025,fourStar,4★ Threshold,87,87,0,87,0,0,false,435,253,0.5,0.5,false,false,cahps-percentile,10,8675309,2024
care coordination partc,Care Coordination,threshold,,2025,fiveStar,5★ Threshold,88,88,0,88,0,0,false,435,253,0.5,0.5,false,false,cahps-percentile,10,8675309,2024
care coordination partc,Care Coordination,threshold,,2026,twoStar,2★ Threshold,85,85,0,86,1,1,false,418,240,0,0.5,false,false,cahps-percentile,10,8675309,2024
care coordination partc,Care Coordination,threshold,,2026,threeStar,3★ Threshold,86,86,0,87,1,1,false,418,240,0,0.5,false,false,cahps-percentile,10,8675309,2024
care coordination partc,Care Coordination,threshold,,2026,fourStar,4★ Threshold,88,88,0,88,0,0,false,418,240,0,0.5,false,false,cahps-percentile,10,8675309,2024
care coordination partc,Care Coordination,threshold,,2026,fiveStar,5★ Threshold,89,89,0,89,0,0,false,418,240,0,0.5,false,false,cahps-percentile,10,8675309,2024
care for older adults medication review partc,Care for Older Adults – Medication Review,threshold,,2023,twoStar,2★ Threshold,43,43,0,53,10,10,false,292,164,2.15,6.38,false,true,clustering,10,8675309,2024
care for older adults medication review partc,Care for Older Adults – Medication Review,threshold,,2023,threeStar,3★ Threshold,70,72.8,2.8,76,6,3.2,false,292,164,2.15,6.38,false,true,clustering,10,8675309,2024
care for older adults medication review partc,Care for Older Adults – Medication Review,threshold,,2023,fourStar,4★ Threshold,82,85.8,3.8,88.3,6.3,2.5,false,292,164,2.15,6.38,false,true,clustering,10,8675309,2024
care for older adults medication review partc,Care for Older Adults – Medication Review,threshold,,2023,fiveStar,5★ Threshold,93,95,2,96.2,3.2,1.2,false,292,164,2.15,6.38,false,true,clustering,10,8675309,2024
care for older adults medication review partc,Care for Older Adults – Medication Review,threshold,,2024,twoStar,2★ Threshold,48,48,0,48,0,0,false,310,176,0.15,0.05,true,true,clustering,10,8675309,2024
care for older adults medication review partc,Care for Older Adults – Medication Review,threshold,,2024,threeStar,3★ Threshold,75,75,0,75,0,0,false,310,176,0.15,0.05,true,true,clustering,10,8675309,2024
care for older adults medication review partc,Care for Older Adults – Medication Review,threshold,,2024,fourStar,4★ Threshold,87,87,0,87,0,0,false,310,176,0.15,0.05,true,true,clustering,10,8675309,2024
care for older adults medication review partc,Care for Older Adults – Medication Review,threshold,,2024,fiveStar,5★ Threshold,98,97.4,-0.6,97.8,-0.2,0.4,false,310,176,0.15,0.05,true,true,clustering,10,8675309,2024
care for older adults medication review partc,Care for Older Adults – Medication Review,threshold,,2025,twoStar,2★ Threshold,53,53,0,53,0,0,false,319,185,0.17,0.03,true,true,clustering,10,8675309,2024
care for older adults medication review partc,Care for Older Adults – Medication Review,threshold,,2025,threeStar,3★ Threshold,80,80,0,80,0,0,false,319,185,0.17,0.03,true,true,clustering,10,8675309,2024
care for older adults medication review partc,Care for Older Adults – Medication Review,threshold,,2025,fourStar,4★ Threshold,92,92,0,92,0,0,false,319,185,0.17,0.03,true,true,clustering,10,8675309,2024
