Year,Improvement,New Measures,Percentile,Part C Rating,Part D Rating (MA-PD),Part D Rating (PDP),Overall Rating
2024,With,With,65,3.783333,3.702703,3.500000,3.700515
2024,With,With,85,4.121212,4.000000,3.857143,3.989691
2024,With,Without,65,3.810345,3.702703,3.500000,3.724138
2024,With,Without,85,4.169231,4.000000,3.857143,4.030928
2024,Without,With,65,3.848485,3.718750,3.631579,3.741573
2024,Without,With,85,4.169231,4.093750,3.937500,4.061111
2024,Without,Without,65,3.873016,3.718750,3.631579,3.759036
2024,Without,Without,85,4.225806,4.093750,3.937500,4.102564
2025,With,,65,3.703125,3.666667,3.535714,3.646465
2025,With,,85,4.014493,4.000000,4.035714,3.949495
2025,Without,,65,3.707692,3.718750,3.687500,3.662921
2025,Without,,85,4.044118,4.062500,4.173913,3.977528
2026,With,With,65,3.695652,3.740741,3.385522,3.649351
2026,With,With,85,4.000000,4.000000,3.913300,3.932432
2026,With,Without,65,3.708333,3.740741,3.385522,3.656716
2026,With,Without,85,4.019608,4.000000,3.913300,3.943662
2026,Without,With,65,3.717391,3.769231,3.318182,3.686567
2026,Without,With,85,4.020408,4.136364,4.117647,3.953125
2026,Without,Without,65,3.736842,3.769231,3.318182,3.700000
2026,Without,Without,85,4.023810,4.136364,4.117647,3.966667
