code,measureName,direction,contracts,workbookContracts,outliersRemoved,ourExactPct,workbookExactPct,exactDiffPts,ourWithin1Pct,workbookWithin1Pct,predictionAgreementPct,workbookTwoStar,workbookThreeStar,workbookFourStar,workbookFiveStar,ourTwoStar,ourThreeStar,ourFourStar,ourFiveStar,deltaTwoStar,deltaThreeStar,deltaFourStar,deltaFiveStar
C01,Breast Cancer Screening,Higher is Better,499,499,3,78.8,81.8,-3,100,100,83.4,61,68.8,75.4,82,61.4,69.3,76.2,82.5,0.4,0.5,0.8,0.5
C02,Colorectal Cancer Screening,Higher is Better,544,544,5,76.7,63.4,13.2,100,100,86.8,52.7,65.3,72,80.1,52.7,63.3,71.6,78.2,0,-2,-0.4,-1.9
C03,Annual Flu Vaccine,Higher is Better,497,497,0,71.4,78.3,-6.8,100,100,91.5,54.2,62.1,68.6,75.4,54.1,61.6,69.4,75.7,-0.1,-0.5,0.8,0.3
C04,Improving or Maintaining Physical Health,Higher is Better,295,295,0,90.2,92.2,-2,100,100,98,65.1,68.9,71.7,74.9,64.8,68.5,71.5,74.9,-0.3,-0.4,-0.2,0
C05,Improving or Maintaining Mental Health,Higher is Better,294,294,0,87.1,87.1,0,100,100,100,81,83,85.1,88,81,83,85.2,88,0,0,0.1,0
C06,Monitoring Physical Activity,Higher is Better,504,504,0,89.3,90.7,-1.4,100,100,98.6,40.7,47.8,53.3,59,40.5,47.7,53.2,59.2,-0.2,-0.1,-0.1,0.2
C07,Special Needs Plan (SNP) Care Management,Higher is Better,325,325,0,98.2,95.7,2.5,100,100,97.5,41.1,57.8,71.6,87.1,41.1,58.6,72.4,87.6,0,0.8,0.8,0.5
C08,Care for Older Adults – Medication Review,Higher is Better,331,331,9,87,76.4,10.6,100,100,89.4,80.6,88.3,93.5,98.2,80.6,88.5,93.3,98,0,0.2,-0.2,-0.2
C09,Care for Older Adults – Pain Assessment,Higher is Better,331,331,11,70.4,71,-0.6,99.7,99.7,99.4,84.9,91.2,95.2,98.8,85.3,91.4,95.4,98.6,0.4,0.2,0.2,-0.2
C10,Osteoporosis Management in Women who had a Fracture,Higher is Better,318,318,0,89,97.8,-8.8,100,100,88.1,31.9,41,52,67.6,32.2,42.4,52.2,67.8,0.3,1.4,0.2,0.2
C11,Diabetes Care – Eye Exam,Higher is Better,549,549,1,93.4,98.7,-5.3,100,100,94.7,59.1,71.3,79.2,86,61.3,71.7,79.3,86.2,2.2,0.4,0.1,0.2
C12,Diabetes Care – Blood Sugar Controlled,Higher is Better,554,554,19,69.1,80.5,-11.4,95.7,97.8,86.5,77.6,81.9,86.3,90.6,78.3,82.3,86.9,91.1,0.7,0.4,0.6,0.5
