2022 Data View: Medicare Report Card Master Table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONTRACT_ID,Organization Type,Contract Name,Organization Marketing Name,Parent Organization,"HD1: Staying Healthy: Screenings, Tests and Vaccines",,,,HD2: Managing Chronic (Long Term) Conditions,,,,,,,,,,,,HD3: Member Experience with Health Plan,,,,,,HD4: Member Complaints and Changes in the Health Plan's Performance,,,HD5: Health Plan Customer Service,,,DD1: Drug Plan Customer Service,DD2: Member Complaints and Changes in the Drug Plan’s Performance,,,DD3: Member Experience with the Drug Plan,,DD4: Drug Safety and Accuracy of Drug Pricing,,,,,
,,,,,C01: Breast Cancer Screening,C02: Colorectal Cancer Screening,C03: Annual Flu Vaccine,C04: Monitoring Physical Activity,C05: Special Needs Plan (SNP) Care Management,C06: Care for Older Adults – Medication Review,C07: Care for Older Adults – Pain Assessment,C08: Osteoporosis Management in Women who had a Fracture,C09: Diabetes Care – Eye Exam,C10: Diabetes Care – Kidney Disease Monitoring,C11: Diabetes Care – Blood Sugar Controlled,C12: Rheumatoid Arthritis Management,C13: Reducing the Risk of Falling,C14: Improving Bladder Control,C15: Medication Reconciliation Post-Discharge,C16: Statin Therapy for Patients with Cardiovascular Disease,C17: Getting Needed Care,C18: Getting Appointments and Care Quickly,C19: Customer Service,C20: Rating of Health Care Quality,C21: Rating of Health Plan,C22: Care Coordination,C23: Complaints about the Health Plan,C24: Members Choosing to Leave the Plan,C25: Health Plan Quality Improvement,C26: Plan Makes Timely Decisions about Appeals,C27: Reviewing Appeals Decisions,C28: Call Center – Foreign Language Interpreter and TTY Availability,D01: Call Center – Foreign Language Interpreter and TTY Availability,D02: Complaints about the Drug Plan,D03: Members Choosing to Leave the Plan,D04: Drug Plan Quality Improvement,D05: Rating of Drug Plan,D06: Getting Needed Prescription Drugs,D07: MPF Price Accuracy,D08: Medication Adherence for Diabetes Medications,D09: Medication Adherence for Hypertension (RAS antagonists),D10: Medication Adherence for Cholesterol (Statins),D11: MTM Program Completion Rate for CMR,D12: Statin Use in Persons with Diabetes (SUPD)
,,,,,01/01/2020 – 12/31/2020,01/01/2020 – 12/31/2020,03/2021 – 05/2021,08/17/2020 – 11/09/2020,01/01/2020 – 12/31/2020,01/01/2020 – 12/31/2020,01/01/2020 – 12/31/2020,01/01/2020 – 12/31/2020,01/01/2020 – 12/31/2020,01/01/2020 – 12/31/2020,01/01/2020 – 12/31/2020,01/01/2020 – 12/31/2020,08/17/2020 – 11/09/2020,08/17/2020 – 11/09/2020,01/01/2020 – 12/31/2020,01/01/2020 – 12/31/2020,03/2021 – 05/2021,03/2021 – 05/2021,03/2021 – 05/2021,03/2021 – 05/2021,03/2021 – 05/2021,03/2021 – 05/2021,01/01/2020 – 12/31/2020,01/01/2020 – 12/31/2020,Not Applicable,01/01/2020 – 12/31/2020,01/01/2020 – 12/31/2020,02/2021 – 06/2021,02/2021 – 06/2021,01/01/2020 – 12/31/2020,01/01/2020 – 12/31/2020,Not Applicable,03/2021 – 05/2021,03/2021 – 05/2021,01/01/2020 – 12/31/2020,01/01/2020 – 12/31/2020,01/01/2020 – 12/31/2020,01/01/2020 – 12/31/2020,01/01/2020 – 12/31/2020,01/01/2020 – 12/31/2020
E0654 ,Employer/Union Only Direct Contract PDP ,IBT VOLUNTARY EMPLOYEE BENEFITS TRUST ,TEAMStar Medicare Part D Prescription Drug Program ,IBT Voluntary Employee Benefits Trust ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Not enough data available ,0,Not enough data available ,Medicare shows only a Star Rating for this topic ,83,91,Not enough data available ,85%,89%,87%,61%,81%
E3014 ,Employer/Union Only Direct Contract PDP ,PSERS HOP PROGRAM ,Pennsylvania Public School Employees Retirement Sy ,Commonwealth of PA Pub Schools Retirement System ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Not enough data available ,0.01,Not enough data available ,Medicare shows only a Star Rating for this topic ,88,94,Not enough data available ,90%,92%,90%,68%,83%
E4744 ,Employer/Union Only Direct Contract PDP ,MODOT/MSHP MEDICAL AND LIFE INSURANCE PLAN ,MISSOURI DEPARTMENT OF TRANSPORTATION ,Missouri Highways and Transportation Commission ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Not enough data available ,0.01,Not enough data available ,Medicare shows only a Star Rating for this topic ,86,93,Not enough data available ,87%,89%,89%,53%,76%
H0022 ,Demo ,"BUCKEYE COMMUNITY HEALTH PLAN, INC. ",Buckeye Health Plan - MyCare Ohio ,Centene Corporation ,No data available ,No data available ,No data available ,No data available ,No data available ,Plan not required to report measure ,Plan not required to report measure ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available
H0028 ,Local CCP ,"CHA HMO, INC. ",Humana ,Humana Inc. ,71%,79%,79%,47%,79%,95%,97%,40%,75%,98%,86%,78%,53%,44%,83%,83%,84,82,91,87,88,88,0.13,14%,Medicare shows only a Star Rating for this topic ,98%,98%,100%,98%,0.13,14%,Medicare shows only a Star Rating for this topic ,87,90,90,84%,88%,87%,85%,84%
H0029 ,Local CCP ,"COORDINATED CARE OF WASHINGTON, INC. ",Allwell ,Centene Corporation ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,No data available ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,No data available ,Not enough data available ,Not enough data available ,Plan too small to be measured ,Plan too small to be measured ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,Plan not required to report ,Not enough data available
H0034 ,Local CCP ,"HAMASPIK, INC. ","Hamaspik, Inc. ","Hamaspik of Rockland County, Inc. ",Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too new to be measured ,No data available ,No data available ,No data available ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,80%,74%,Not enough data available ,Not enough data available ,Not enough data available ,Plan too small to be measured ,Plan too small to be measured ,81,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available
H0062 ,Local CCP ,"SUPERIOR HEALTHPLAN COMMUNITY SOLUTIONS, INC. ",Wellcare by Allwell ,Centene Corporation ,67%,62%,71%,52%,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Not enough data available ,62%,98%,60%,82%,54%,48%,51%,88%,77,75,Not enough data available ,Not enough data available ,86,Not enough data available ,0.85,44%,Medicare shows only a Star Rating for this topic ,Not enough data available ,Not enough data available ,97%,95%,0.85,44%,Medicare shows only a Star Rating for this topic ,85,Not enough data available ,91,83%,87%,83%,93%,88%
